ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
6;A_6;-7124;2: G-(Ex+0.3Ey);6463;9: G+0.8Q+(Ex+0.3Ey);-1060;6: G-(0.3Ex+Ey);1109;13: G+0.8Q+(0.3Ex+Ey);-23286;2: G-(Ex+0.3Ey);32898;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
7;A_7;-34;10: G+0.8Q-(Ex+0.3Ey);35;1: G+(Ex+0.3Ey);-1052;6: G-(0.3Ex+Ey);1053;13: G+0.8Q+(0.3Ex+Ey);5365;10: G+0.8Q-(Ex+0.3Ey);5603;1: G+(Ex+0.3Ey);;;;;;;
23;K_7;-23;10: G+0.8Q-(Ex+0.3Ey);23;1: G+(Ex+0.3Ey);-503;14: G+0.8Q-(0.3Ex+Ey);501;5: G+(0.3Ex+Ey);1264;2: G-(Ex+0.3Ey);1275;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
8;A_8;-8646;2: G-(Ex+0.3Ey);9645;9: G+0.8Q+(Ex+0.3Ey);-773;6: G-(0.3Ex+Ey);781;13: G+0.8Q+(0.3Ex+Ey);-24470;2: G-(Ex+0.3Ey);30409;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
27;K_8;-8357;2: G-(Ex+0.3Ey);9567;9: G+0.8Q+(Ex+0.3Ey);-456;14: G+0.8Q-(0.3Ex+Ey);452;5: G+(0.3Ex+Ey);-24058;2: G-(Ex+0.3Ey);29300;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
9;A_9;-34;10: G+0.8Q-(Ex+0.3Ey);33;1: G+(Ex+0.3Ey);-656;6: G-(0.3Ex+Ey);649;13: G+0.8Q+(0.3Ex+Ey);1460;6: G-(0.3Ex+Ey);3345;13: G+0.8Q+(0.3Ex+Ey);;;;;;;
31;K_9;-23;10: G+0.8Q-(Ex+0.3Ey);22;1: G+(Ex+0.3Ey);-397;14: G+0.8Q-(0.3Ex+Ey);399;5: G+(0.3Ex+Ey);1276;6: G-(0.3Ex+Ey);2380;13: G+0.8Q+(0.3Ex+Ey);;;;;;;
10;A_10;-9346;2: G-(Ex+0.3Ey);9089;9: G+0.8Q+(Ex+0.3Ey);-525;6: G-(0.3Ex+Ey);540;13: G+0.8Q+(0.3Ex+Ey);-26306;10: G+0.8Q-(Ex+0.3Ey);32981;1: G+(Ex+0.3Ey);;;;;;;
26;K_10;-9292;2: G-(Ex+0.3Ey);8859;9: G+0.8Q+(Ex+0.3Ey);-359;14: G+0.8Q-(0.3Ex+Ey);352;5: G+(0.3Ex+Ey);-25602;10: G+0.8Q-(Ex+0.3Ey);31583;1: G+(Ex+0.3Ey);;;;;;;
32;K_11;42;2: G-(Ex+0.3Ey);112;9: G+0.8Q+(Ex+0.3Ey);-18115;14: G+0.8Q-(0.3Ex+Ey);13310;5: G+(0.3Ex+Ey);-31344;6: G-(0.3Ex+Ey);47735;13: G+0.8Q+(0.3Ex+Ey);;;;;;;
11;A_11;44;2: G-(Ex+0.3Ey);108;9: G+0.8Q+(Ex+0.3Ey);-13397;6: G-(0.3Ex+Ey);18191;13: G+0.8Q+(0.3Ex+Ey);-31699;6: G-(0.3Ex+Ey);48066;13: G+0.8Q+(0.3Ex+Ey);;;;;;;
36;B_11;-459;10: G+0.8Q-(Ex+0.3Ey);306;1: G+(Ex+0.3Ey);67;6: G-(0.3Ex+Ey);107;13: G+0.8Q+(0.3Ex+Ey);10959;6: G-(0.3Ex+Ey);16695;13: G+0.8Q+(0.3Ex+Ey);;;;;;;
38;C_11;-611;10: G+0.8Q-(Ex+0.3Ey);488;1: G+(Ex+0.3Ey);-17311;14: G+0.8Q-(0.3Ex+Ey);13832;5: G+(0.3Ex+Ey);-23710;6: G-(0.3Ex+Ey);62525;13: G+0.8Q+(0.3Ex+Ey);;;;;;;
34;D_11;-751;10: G+0.8Q-(Ex+0.3Ey);549;1: G+(Ex+0.3Ey);-43;6: G-(0.3Ex+Ey);53;13: G+0.8Q+(0.3Ex+Ey);15949;2: G-(Ex+0.3Ey);17136;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
39;E_11;-931;10: G+0.8Q-(Ex+0.3Ey);830;1: G+(Ex+0.3Ey);-56;14: G+0.8Q-(0.3Ex+Ey);55;5: G+(0.3Ex+Ey);18321;14: G+0.8Q-(0.3Ex+Ey);20620;5: G+(0.3Ex+Ey);;;;;;;
35;F_11;-1015;2: G-(Ex+0.3Ey);794;9: G+0.8Q+(Ex+0.3Ey);-45;6: G-(0.3Ex+Ey);45;13: G+0.8Q+(0.3Ex+Ey);16227;2: G-(Ex+0.3Ey);17101;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
33;G_11;-950;10: G+0.8Q-(Ex+0.3Ey);850;1: G+(Ex+0.3Ey);-55;6: G-(0.3Ex+Ey);56;13: G+0.8Q+(0.3Ex+Ey);18275;14: G+0.8Q-(0.3Ex+Ey);20645;5: G+(0.3Ex+Ey);;;;;;;
37;H_11;-755;10: G+0.8Q-(Ex+0.3Ey);554;1: G+(Ex+0.3Ey);-52;14: G+0.8Q-(0.3Ex+Ey);43;5: G+(0.3Ex+Ey);15963;2: G-(Ex+0.3Ey);17121;9: G+0.8Q+(Ex+0.3Ey);;;;;;;
40;I_11;-624;10: G+0.8Q-(Ex+0.3Ey);501;1: G+(Ex+0.3Ey);-13793;6: G-(0.3Ex+Ey);17261;13: G+0.8Q+(0.3Ex+Ey);-23194;6: G-(0.3Ex+Ey);61990;13: G+0.8Q+(0.3Ex+Ey);;;;;;;
41;J_11;-463;10: G+0.8Q-(Ex+0.3Ey);310;1: G+(Ex+0.3Ey);-107;14: G+0.8Q-(0.3Ex+Ey);-67;5: G+(0.3Ex+Ey);11093;6: G-(0.3Ex+Ey);16557;13: G+0.8Q+(0.3Ex+Ey);;;;;;;
;;;;;;;;;;;;;;;;;;;;
EX;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
88;B_1;0;1: +(Ex);0;1: +(Ex);-1675;2: -(Ex);1675;1: +(Ex);-486;2: -(Ex);486;1: +(Ex);;;;;;;
89;C_1;0;1: +(Ex);0;1: +(Ex);-31178;2: -(Ex);31178;1: +(Ex);-750;2: -(Ex);750;1: +(Ex);;;;;;;
90;D_1;0;1: +(Ex);0;1: +(Ex);-25;2: -(Ex);25;1: +(Ex);-363;2: -(Ex);363;1: +(Ex);;;;;;;
91;E_1;0;1: +(Ex);0;1: +(Ex);-19801;2: -(Ex);19801;1: +(Ex);-685;2: -(Ex);685;1: +(Ex);;;;;;;
92;F_1;0;1: +(Ex);0;1: +(Ex);-1;2: -(Ex);1;1: +(Ex);-270;2: -(Ex);270;1: +(Ex);;;;;;;
93;G_1;0;1: +(Ex);0;1: +(Ex);-21120;2: -(Ex);21120;1: +(Ex);-1043;2: -(Ex);1043;1: +(Ex);;;;;;;
94;H_1;0;1: +(Ex);0;1: +(Ex);-24;2: -(Ex);24;1: +(Ex);-357;2: -(Ex);357;1: +(Ex);;;;;;;
95;I_1;0;1: +(Ex);0;1: +(Ex);-28557;2: -(Ex);28557;1: +(Ex);-643;2: -(Ex);643;1: +(Ex);;;;;;;
96;J_1;0;1: +(Ex);0;1: +(Ex);-1816;2: -(Ex);1816;1: +(Ex);-489;2: -(Ex);489;1: +(Ex);;;;;;;
306;K_1;-13;2: -(Ex);13;1: +(Ex);-5;2: -(Ex);5;1: +(Ex);-5;2: -(Ex);5;1: +(Ex);;;;;;;
309;A_1;-13;2: -(Ex);13;1: +(Ex);-5;2: -(Ex);5;1: +(Ex);-5;2: -(Ex);5;1: +(Ex);;;;;;;
