ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
1106;A_84;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-82;299: G+1.5W7+0.75S;80;101: 1.35G+1.5W2+1.5Q;923;254: G+1.5W+1.5Q+0.75S;1315;148: 1.35G+1.5W8;;;;;;;
1573;K_84;0;97: 1.35G+1.5W+1.5Q+0.75S;0;305: G+1.5W8;-99;101: 1.35G+1.5W2+1.5Q;101;283: G+1.5W5+0.75S;899;254: G+1.5W+1.5Q+0.75S;1320;132: 1.35G+1.5W6;;;;;;;
1107;A_85;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-78;142: 1.35G+1.5W7+0.75S;76;258: G+1.5W2+1.5Q;853;249: G+1.5W;1193;55: 1.35G+1.5S+1.5Q+0.9W8;;;;;;;
1361;K_85;0;97: 1.35G+1.5W+1.5Q+0.75S;0;305: G+1.5W8;-97;101: 1.35G+1.5W2+1.5Q;97;283: G+1.5W5+0.75S;850;249: G+1.5W;1211;91: 1.35G+1.5S3+1.5Q+0.9W8;;;;;;;
1108;A_86;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-58;142: 1.35G+1.5W7+0.75S;57;258: G+1.5W2+1.5Q;549;257: G+1.5W2;890;50: 1.35G+1.5S+1.5Q+0.9W3;;;;;;;
1554;K_86;0;97: 1.35G+1.5W+1.5Q+0.75S;0;305: G+1.5W8;-86;258: G+1.5W2+1.5Q;85;126: 1.35G+1.5W5+0.75S;591;257: G+1.5W2;1018;50: 1.35G+1.5S+1.5Q+0.9W3;;;;;;;
1265;A_91;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-58;142: 1.35G+1.5W7+0.75S;57;258: G+1.5W2+1.5Q;568;257: G+1.5W2;908;50: 1.35G+1.5S+1.5Q+0.9W3;;;;;;;
1427;K_91;0;97: 1.35G+1.5W+1.5Q+0.75S;0;305: G+1.5W8;-88;258: G+1.5W2+1.5Q;85;126: 1.35G+1.5W5+0.75S;612;257: G+1.5W2;1036;50: 1.35G+1.5S+1.5Q+0.9W3;;;;;;;
1266;A_92;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-98;299: G+1.5W7+0.75S;100;101: 1.35G+1.5W2+1.5Q;1030;289: G+1.5W6;1428;48: 1.35G+1.5S+1.5Q+0.9W;;;;;;;
1579;K_92;0;97: 1.35G+1.5W+1.5Q+0.75S;0;305: G+1.5W8;-123;101: 1.35G+1.5W2+1.5Q;118;283: G+1.5W5+0.75S;1032;289: G+1.5W6;1448;48: 1.35G+1.5S+1.5Q+0.9W;;;;;;;
1270;A_93;0;97: 1.35G+1.5W+1.5Q+0.75S;0;289: G+1.5W6;-62;300: G+1.5W7+0.75S2;79;101: 1.35G+1.5W2+1.5Q;753;293: G+1.5W6+0.75S3;1085;93: 1.35G+1.5W+1.5Q;;;;;;;
1585;K_93;0;254: G+1.5W+1.5Q+0.75S;0;148: 1.35G+1.5W8;-104;101: 1.35G+1.5W2+1.5Q;82;284: G+1.5W5+0.75S2;734;309: G+1.5W8+0.75S3;1098;93: 1.35G+1.5W+1.5Q;;;;;;;
1269;A_94;0;254: G+1.5W+1.5Q+0.75S;0;132: 1.35G+1.5W6;-82;300: G+1.5W7+0.75S2;108;107: 1.35G+1.5W2+1.5Q+0.75S3;906;293: G+1.5W6+0.75S3;1284;93: 1.35G+1.5W+1.5Q;;;;;;;
